Community Board(CB),Areakm2,Pop.Census2010,Pop./km2,Neighborhoods
Bronx CB 1,7.17,91497,12761,Melrose
Bronx CB 1,7.17,91497,12761,Mott Haven
Bronx CB 1,7.17,91497,12761,Port Morris
Bronx CB 2,5.54,52246,9792,Hunts Point
Bronx CB 2,5.54,52246,9792,Longwood
Bronx CB 3,4.07,79762,19598,Claremont
Bronx CB 3,4.07,79762,19598,Concourse Village
Bronx CB 3,4.07,79762,19598,Crotona Park
Bronx CB 3,4.07,79762,19598,Morrisania
Bronx CB 4,5.28,146441,27735,Concourse
Bronx CB 4,5.28,146441,27735,High Bridge
Bronx CB 5,3.55,128200,36145,Fordham
Bronx CB 5,3.55,128200,36145,Morris Heights
Bronx CB 5,3.55,128200,36145,Mount Hope
Bronx CB 5,3.55,128200,36145,University Heights
Bronx CB 6,4.01,83268,20765,Bathgate
Bronx CB 6,4.01,83268,20765,Belmont
Bronx CB 6,4.01,83268,20765,East Tremont
Bronx CB 6,4.01,83268,20765,West Farms
Bronx CB 7,4.84,139286,28778,Bedford Park
Bronx CB 7,4.84,139286,28778,Norwood
Bronx CB 7,4.84,139286,28778,University Heights
Bronx CB 8,8.83,101731,11521,Fieldston
Bronx CB 8,8.83,101731,11521,Kingsbridge
Bronx CB 8,8.83,101731,11521,Kingsbridge Heights
Bronx CB 8,8.83,101731,11521,Marble Hill
Bronx CB 8,8.83,101731,11521,Riverdale
Bronx CB 8,8.83,101731,11521,Spuyten Duyvil
Bronx CB 8,8.83,101731,11521,Van Cortlandt Village
Bronx CB 9,12.41,172298,13884,Bronx River
Bronx CB 9,12.41,172298,13884,Bruckner
Bronx CB 9,12.41,172298,13884,Castle Hill
Bronx CB 9,12.41,172298,13884,Clason Point
Bronx CB 9,12.41,172298,13884,Harding Park
Bronx CB 9,12.41,172298,13884,Parkchester
Bronx CB 9,12.41,172298,13884,Soundview
Bronx CB 9,12.41,172298,13884,Unionport
Bronx CB 10,16.76,120392,7183,City Island
Bronx CB 10,16.76,120392,7183,Co-op City
Bronx CB 10,16.76,120392,7183,Locust Point
Bronx CB 10,16.76,120392,7183,Pelham Bay
Bronx CB 10,16.76,120392,7183,Silver Beach
Bronx CB 10,16.76,120392,7183,Throgs Neck
Bronx CB 10,16.76,120392,7183,Westchester Square
Bronx CB 11,9.32,"113,232[2]",12149,Allerton
Bronx CB 11,9.32,"113,232[2]",12149,Bronxdale
Bronx CB 11,9.32,"113,232[2]",12149,Indian Village
Bronx CB 11,9.32,"113,232[2]",12149,Laconia
Bronx CB 11,9.32,"113,232[2]",12149,Morris Park
Bronx CB 11,9.32,"113,232[2]",12149,Pelham Gardens
Bronx CB 11,9.32,"113,232[2]",12149,Pelham Parkway
Bronx CB 11,9.32,"113,232[2]",12149,Van Nest[3][4]
Bronx CB 12,14.56,152344,10463,Baychester
Bronx CB 12,14.56,152344,10463,Edenwald
Bronx CB 12,14.56,152344,10463,Eastchester
Bronx CB 12,14.56,152344,10463,Fish Bay
Bronx CB 12,14.56,152344,10463,Olinville
Bronx CB 12,14.56,152344,10463,Wakefield
Bronx CB 12,14.56,152344,10463,Williamsbridge
Bronx CB 12,14.56,152344,10463,Woodlawn
Brooklyn CB 1,12.82,160338,12507,Greenpoint
Brooklyn CB 1,12.82,160338,12507,Williamsburg
Brooklyn CB 2,7.72,98620,12775,Boerum Hill
Brooklyn CB 2,7.72,98620,12775,Brooklyn Heights
Brooklyn CB 2,7.72,98620,12775,Brooklyn Navy Yard
Brooklyn CB 2,7.72,98620,12775,Clinton Hill
Brooklyn CB 2,7.72,98620,12775,DUMBO
Brooklyn CB 2,7.72,98620,12775,Fort Greene
Brooklyn CB 2,7.72,98620,12775,Fulton Ferry
Brooklyn CB 2,7.72,98620,12775,Fulton Mall
Brooklyn CB 2,7.72,98620,12775,Vinegar Hill
Brooklyn CB 3,7.67,143867,18757,Bedford-Stuyvesant
Brooklyn CB 3,7.67,143867,18757,Ocean Hill
Brooklyn CB 3,7.67,143867,18757,Stuyvesant Heights
Brooklyn CB 4,5.31,104358,19653,Bushwick
Brooklyn CB 5,14.61,173198,11855,City Line
Brooklyn CB 5,14.61,173198,11855,Cypress Hills
Brooklyn CB 5,14.61,173198,11855,East New York
Brooklyn CB 5,14.61,173198,11855,Highland Park
Brooklyn CB 5,14.61,173198,11855,New Lots
Brooklyn CB 5,14.61,173198,11855,Starrett City
Brooklyn CB 6,9.01,104054,11549,Carroll Gardens
Brooklyn CB 6,9.01,104054,11549,Cobble Hill
Brooklyn CB 6,9.01,104054,11549,Gowanus
Brooklyn CB 6,9.01,104054,11549,Park Slope
Brooklyn CB 6,9.01,104054,11549,Red Hook
Brooklyn CB 7,10.96,120063,10955,Greenwood Heights
Brooklyn CB 7,10.96,120063,10955,Sunset Park
Brooklyn CB 7,10.96,120063,10955,Windsor Terrace
Brooklyn CB 8,4.25,96076,22606,Crown Heights
Brooklyn CB 8,4.25,96076,22606,Prospect Heights
Brooklyn CB 8,4.25,96076,22606,Weeksville
Brooklyn CB 9,4.07,104014,25556,Crown Heights
Brooklyn CB 9,4.07,104014,25556,Prospect Lefferts Gardens
Brooklyn CB 9,4.07,104014,25556,Wingate
Brooklyn CB 10,10.57,122542,11593,Bay Ridge
Brooklyn CB 10,10.57,122542,11593,Dyker Heights
Brooklyn CB 10,10.57,122542,11593,Fort Hamilton
Brooklyn CB 11,10.18,172129,16909,Bath Beach
Brooklyn CB 11,10.18,172129,16909,Bensonhurst
Brooklyn CB 11,10.18,172129,16909,Gravesend
Brooklyn CB 11,10.18,172129,16909,Mapleton
Brooklyn CB 12,9.32,185046,19855,Borough Park
Brooklyn CB 12,9.32,185046,19855,Kensington
Brooklyn CB 12,9.32,185046,19855,Midwood
Brooklyn CB 12,9.32,185046,19855,Ocean Parkway
Brooklyn CB 13,8.88,106120,11950,Bensonhurst
Brooklyn CB 13,8.88,106120,11950,Brighton Beach
Brooklyn CB 13,8.88,106120,11950,Coney Island
Brooklyn CB 13,8.88,106120,11950,Gravesend
Brooklyn CB 13,8.88,106120,11950,Sea Gate
Brooklyn CB 14,7.61,168806,22182,Flatbush
Brooklyn CB 14,7.61,168806,22182,Kensington
Brooklyn CB 14,7.61,168806,22182,Midwood
Brooklyn CB 14,7.61,168806,22182,Ocean Parkway
Brooklyn CB 15,12.82,160319,12505,East Gravesend
Brooklyn CB 15,12.82,160319,12505,Gerritsen Beach
Brooklyn CB 15,12.82,160319,12505,Homecrest
Brooklyn CB 15,12.82,160319,12505,Kings Bay
Brooklyn CB 15,12.82,160319,12505,Kings Highway
Brooklyn CB 15,12.82,160319,12505,Madison
Brooklyn CB 15,12.82,160319,12505,Manhattan Beach
Brooklyn CB 15,12.82,160319,12505,Plum Beach
Brooklyn CB 15,12.82,160319,12505,Sheepshead Bay
Brooklyn CB 16,4.97,85343,17172,Brownsville
Brooklyn CB 16,4.97,85343,17172,Ocean Hill
Brooklyn CB 17,8.73,165753,18987,Ditmas Village
Brooklyn CB 17,8.73,165753,18987,East Flatbush
Brooklyn CB 17,8.73,165753,18987,Erasmus
Brooklyn CB 17,8.73,165753,18987,Farragut
Brooklyn CB 17,8.73,165753,18987,Remsen Village
Brooklyn CB 17,8.73,165753,18987,Rugby
Brooklyn CB 18,24.68,194653,7887,Bergen Beach
Brooklyn CB 18,24.68,194653,7887,Canarsie
Brooklyn CB 18,24.68,194653,7887,Flatlands
Brooklyn CB 18,24.68,194653,7887,Georgetown
Brooklyn CB 18,24.68,194653,7887,Marine Park
Brooklyn CB 18,24.68,194653,7887,Mill Basin
Brooklyn CB 18,24.68,194653,7887,Mill Island
Manhattan CB 1,4.45,34420,7735,Battery Park City
Manhattan CB 1,4.45,34420,7735,Financial District
Manhattan CB 1,4.45,34420,7735,TriBeCa
Manhattan CB 2,4.01,93119,23222,Chinatown
Manhattan CB 2,4.01,93119,23222,Greenwich Village
Manhattan CB 2,4.01,93119,23222,Little Italy
Manhattan CB 2,4.01,93119,23222,Lower East Side
Manhattan CB 2,4.01,93119,23222,NoHo
Manhattan CB 2,4.01,93119,23222,SoHo
Manhattan CB 2,4.01,93119,23222,West Village
Manhattan CB 3,4.56,164407,36054,Alphabet City
Manhattan CB 3,4.56,164407,36054,Chinatown
Manhattan CB 3,4.56,164407,36054,East Village
Manhattan CB 3,4.56,164407,36054,Lower East Side
Manhattan CB 3,4.56,164407,36054,Two Bridges
Manhattan CB 4,5.41,87479,16170,Chelsea
Manhattan CB 4,5.41,87479,16170,Clinton
Manhattan CB 5,4.25,44028,10360,Midtown
Manhattan CB 6,3.55,136152,38353,Gramercy Park
Manhattan CB 6,3.55,136152,38353,Kips Bay
Manhattan CB 6,3.55,136152,38353,Rose Hill
Manhattan CB 6,3.55,136152,38353,Murray Hill
Manhattan CB 6,3.55,136152,38353,Peter Cooper Village
Manhattan CB 6,3.55,136152,38353,Stuyvesant Town
Manhattan CB 6,3.55,136152,38353,Sutton Place
Manhattan CB 6,3.55,136152,38353,Tudor City
Manhattan CB 6,3.55,136152,38353,Turtle Bay
Manhattan CB 6,3.55,136152,38353,Waterside Plaza
Manhattan CB 7,5.46,207699,38040,Lincoln Square
Manhattan CB 7,5.46,207699,38040,Manhattan Valley
Manhattan CB 7,5.46,207699,38040,Upper West Side
Manhattan CB 8,5.13,217063,42312,Lenox Hill
Manhattan CB 8,5.13,217063,42312,Roosevelt Island
Manhattan CB 8,5.13,217063,42312,Upper East Side
Manhattan CB 8,5.13,217063,42312,Yorkville
Manhattan CB 9,3.91,111724,28574,Hamilton Heights
Manhattan CB 9,3.91,111724,28574,Manhattanville
Manhattan CB 9,3.91,111724,28574,Morningside Heights
Manhattan CB 10,3.63,107109,29507,Harlem
Manhattan CB 10,3.63,107109,29507,Polo Grounds
Manhattan CB 11,5.75,117743,20477,East Harlem
Manhattan CB 11,5.75,117743,20477,Randall’s Island
Manhattan CB 11,5.75,117743,20477,Spanish Harlem
Manhattan CB 11,5.75,117743,20477,Wards Island
Manhattan CB 12,7.64,208414,27279,Inwood
Manhattan CB 12,7.64,208414,27279,Washington Heights
Queens CB 1,14.97,211220,14110,Astoria
Queens CB 1,14.97,211220,14110,Ditmars
Queens CB 1,14.97,211220,14110,Garden Bay
Queens CB 1,14.97,211220,14110,Long Island City
Queens CB 1,14.97,211220,14110,Old Astoria
Queens CB 1,14.97,211220,14110,Queensbridge
Queens CB 1,14.97,211220,14110,Ravenswood
Queens CB 1,14.97,211220,14110,Steinway
Queens CB 1,14.97,211220,14110,Woodside
Queens CB 2,13.36,109920,8228,Hunters Point
Queens CB 2,13.36,109920,8228,Long Island City
Queens CB 2,13.36,109920,8228,Sunnyside
Queens CB 2,13.36,109920,8228,Woodside
Queens CB 3,7.33,169083,23067,East Elmhurst
Queens CB 3,7.33,169083,23067,Jackson Heights
Queens CB 3,7.33,169083,23067,North Corona
Queens CB 4,6.16,167005,27111,Corona
Queens CB 4,6.16,167005,27111,Elmhurst
Queens CB 5,19.63,165911,8452,Fresh Pond
Queens CB 5,19.63,165911,8452,Glendale
Queens CB 5,19.63,165911,8452,Maspeth
Queens CB 5,19.63,165911,8452,Middle Village
Queens CB 5,19.63,165911,8452,Liberty Park
Queens CB 5,19.63,165911,8452,Ridgewood
Queens CB 6,7.59,115967,15279,Forest Hills
Queens CB 6,7.59,115967,15279,Rego Park
Queens CB 7,32.97,242952,7369,Bay Terrace
Queens CB 7,32.97,242952,7369,Beechhurst
Queens CB 7,32.97,242952,7369,College Point
Queens CB 7,32.97,242952,7369,Flushing
Queens CB 7,32.97,242952,7369,Linden Hill
Queens CB 7,32.97,242952,7369,Malba
Queens CB 7,32.97,242952,7369,Queensboro Hill
Queens CB 7,32.97,242952,7369,Whitestone
Queens CB 7,32.97,242952,7369,Willets Point
Queens CB 8,19.17,146594,7647,Briarwood
Queens CB 8,19.17,146594,7647,Cunningham Heights
Queens CB 8,19.17,146594,7647,Flushing South
Queens CB 8,19.17,146594,7647,Fresh Meadows
Queens CB 8,19.17,146594,7647,Hilltop Village
Queens CB 8,19.17,146594,7647,Holliswood
Queens CB 8,19.17,146594,7647,Jamaica Estates
Queens CB 8,19.17,146594,7647,Kew Gardens Hills
Queens CB 8,19.17,146594,7647,Pomonok Houses
Queens CB 8,19.17,146594,7647,Utopia
Queens CB 9,10.08,141608,14048,Kew Gardens
Queens CB 9,10.08,141608,14048,Ozone Park
Queens CB 9,10.08,141608,14048,Richmond Hill
Queens CB 9,10.08,141608,14048,Woodhaven
Queens CB 10,16.19,127274,7861,Howard Beach
Queens CB 10,16.19,127274,7861,Lindenwood
Queens CB 10,16.19,127274,7861,Richmond Hill
Queens CB 10,16.19,127274,7861,South Ozone Park
Queens CB 10,16.19,127274,7861,Tudor Village
Queens CB 11,24.99,116404,4658,Auburndale
Queens CB 11,24.99,116404,4658,Bayside
Queens CB 11,24.99,116404,4658,Douglaston
Queens CB 11,24.99,116404,4658,East Flushing
Queens CB 11,24.99,116404,4658,Hollis Hills
Queens CB 11,24.99,116404,4658,Little Neck
Queens CB 11,24.99,116404,4658,Oakland Gardens
Queens CB 12,25.46,223602,8782,Baisley Park
Queens CB 12,25.46,223602,8782,Jamaica
Queens CB 12,25.46,223602,8782,Hollis
Queens CB 12,25.46,223602,8782,Rochdale Village
Queens CB 12,25.46,223602,8782,St. Albans
Queens CB 12,25.46,223602,8782,South Jamaica
Queens CB 12,25.46,223602,8782,Springfield Gardens
Queens CB 13,33.31,196284,5893,Bellerose
Queens CB 13,33.31,196284,5893,Brookville
Queens CB 13,33.31,196284,5893,Cambria Heights
Queens CB 13,33.31,196284,5893,Floral Park
Queens CB 13,33.31,196284,5893,Glen Oaks
Queens CB 13,33.31,196284,5893,Laurelton
Queens CB 13,33.31,196284,5893,Meadowmere
Queens CB 13,33.31,196284,5893,New Hyde Park
Queens CB 13,33.31,196284,5893,Queens Village
Queens CB 13,33.31,196284,5893,Rosedale
Queens CB 14,23.28,106686,4583,Arverne
Queens CB 14,23.28,106686,4583,Bayswater
Queens CB 14,23.28,106686,4583,Belle Harbor
Queens CB 14,23.28,106686,4583,Breezy Point
Queens CB 14,23.28,106686,4583,Edgemere
Queens CB 14,23.28,106686,4583,Far Rockaway
Queens CB 14,23.28,106686,4583,Neponsit
Queens CB 14,23.28,106686,4583,Rockaway Park
Staten Island CB 1,36.62,162609,4440,Arlington
Staten Island CB 1,36.62,162609,4440,Castleton Corners
Staten Island CB 1,36.62,162609,4440,Clifton
Staten Island CB 1,36.62,162609,4440,Concord
Staten Island CB 1,36.62,162609,4440,Elm Park
Staten Island CB 1,36.62,162609,4440,Fort Wadsworth
Staten Island CB 1,36.62,162609,4440,Graniteville
Staten Island CB 1,36.62,162609,4440,Grymes Hill
Staten Island CB 1,36.62,162609,4440,Livingston
Staten Island CB 1,36.62,162609,4440,Mariners Harbor
Staten Island CB 1,36.62,162609,4440,Meiers Corners
Staten Island CB 1,36.62,162609,4440,New Brighton
Staten Island CB 1,36.62,162609,4440,Port Ivory
Staten Island CB 1,36.62,162609,4440,Port Richmond
Staten Island CB 1,36.62,162609,4440,Randall Manor
Staten Island CB 1,36.62,162609,4440,Rosebank
Staten Island CB 1,36.62,162609,4440,St. George
Staten Island CB 1,36.62,162609,4440,Shore Acres
Staten Island CB 1,36.62,162609,4440,Silver Lake
Staten Island CB 1,36.62,162609,4440,Stapleton
Staten Island CB 1,36.62,162609,4440,Sunnyside
Staten Island CB 1,36.62,162609,4440,Tompkinsville
Staten Island CB 1,36.62,162609,4440,West Brighton
Staten Island CB 1,36.62,162609,4440,Westerleigh
Staten Island CB 2,54.62,127071,2326,Arrochar
Staten Island CB 2,54.62,127071,2326,Bloomfield
Staten Island CB 2,54.62,127071,2326,Bulls Head
Staten Island CB 2,54.62,127071,2326,Chelsea
Staten Island CB 2,54.62,127071,2326,Dongan Hills
Staten Island CB 2,54.62,127071,2326,Egbertville
Staten Island CB 2,54.62,127071,2326,Emerson Hill
Staten Island CB 2,54.62,127071,2326,Grant City
Staten Island CB 2,54.62,127071,2326,Grasmere
Staten Island CB 2,54.62,127071,2326,Midland Beach
Staten Island CB 2,54.62,127071,2326,New Dorp
Staten Island CB 2,54.62,127071,2326,New Springville
Staten Island CB 2,54.62,127071,2326,Oakwood
Staten Island CB 2,54.62,127071,2326,Ocean Breeze
Staten Island CB 2,54.62,127071,2326,Old Town
Staten Island CB 2,54.62,127071,2326,South Beach
Staten Island CB 2,54.62,127071,2326,Todt Hill
Staten Island CB 2,54.62,127071,2326,Travis
Staten Island CB 3,58.97,152908,2593,Annadale
Staten Island CB 3,58.97,152908,2593,Arden Heights
Staten Island CB 3,58.97,152908,2593,Bay Terrace
Staten Island CB 3,58.97,152908,2593,Charleston
Staten Island CB 3,58.97,152908,2593,Eltingville
Staten Island CB 3,58.97,152908,2593,Great Kills
Staten Island CB 3,58.97,152908,2593,Greenridge
Staten Island CB 3,58.97,152908,2593,Huguenot
Staten Island CB 3,58.97,152908,2593,Pleasant Plains
Staten Island CB 3,58.97,152908,2593,Prince’s Bay
Staten Island CB 3,58.97,152908,2593,Richmond Valley
Staten Island CB 3,58.97,152908,2593,Rossville
Staten Island CB 3,58.97,152908,2593,Tottenville
Staten Island CB 3,58.97,152908,2593,Woodrow
